,city,date,meeting,url,doc_type
134,San Mateo,2021-01-11 18:00:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=11703,Agenda
135,San Mateo,2021-01-11 16:00:00,Senior Citizens Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=11773,Agenda
136,San Mateo,2021-01-11 16:00:00,Senior Citizens Commission Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=11776,Packet
137,San Mateo,2021-01-11 16:00:00,Civic Arts Committee Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=11805,Agenda
138,San Mateo,2021-01-11 16:00:00,Civic Arts Committee Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=11807,Packet
139,San Mateo,2021-01-04 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12674,Agenda
140,San Mateo,2021-01-04 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12675,Packet
141,San Mateo,2021-01-04 19:00:00,City Council Regular Meeting,https://youtube.com/watch?v=bpnJyltJgR4,Video
142,San Mateo,2021-01-04 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12672,Agenda
143,San Mateo,2021-01-04 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12673,Packet
144,San Mateo,2021-01-04 17:30:00,City Council Special Meeting,https://youtube.com/watch?v=RJ5_XwlHpRw,Video
